datetime,portfolio_value,cash,positions,return
2022-11-01 09:30:00-04:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-02 09:30:00-04:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-03 09:30:00-04:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-04 09:30:00-04:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-05 09:30:00-04:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-05 09:29:00-04:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-07 08:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-07 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-07 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-08 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-09 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-10 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-11 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-12 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-12 09:29:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-14 08:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-14 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-14 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-15 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-16 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-17 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-18 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
2022-11-19 09:30:00-05:00,86671.4912033081,86671.4912033081,"[{'asset': USD, 'quantity': 86671.4912033081}]",0.0
